year_id,survey_id,reference_year,release_date
1,1,2018,2019-04-09
2,1,2020,2021-07-05
3,2,2019,2020-02-01
4,2,2022,2023-08-20
5,2,2017,2018-10-04
6,3,2023,2024-04-17
7,4,2017,2018-02-08
8,4,2020,2021-06-10
9,5,2022,2023-09-23
10,6,2023,2024-11-27
11,6,2015,2016-09-10
12,7,2016,2017-02-04
13,7,2017,2018-12-18
14,7,2022,2023-03-09
15,8,2018,2019-04-22
16,8,2020,2021-11-28
17,9,2023,2024-05-28
18,9,2022,2023-01-03
19,10,2021,2022-01-11
20,10,2019,2020-03-21
21,10,2015,2016-05-06
22,11,2022,2023-01-04
23,11,2021,2022-02-23
24,11,2019,2020-03-18
25,12,2020,2021-10-18
26,13,2021,2022-03-02
27,14,2020,2021-06-07
28,14,2015,2016-11-08
29,15,2016,2017-09-28
30,15,2020,2021-07-20
31,15,2021,2022-12-05
32,16,2017,2018-03-14
33,17,2017,2018-12-11
34,18,2018,2019-03-26
35,18,2019,2020-12-04
36,19,2015,2016-04-07
37,19,2022,2023-08-12
38,20,2018,2019-01-22
39,20,2023,2024-04-13
40,21,2019,2020-05-12
41,21,2016,2017-11-17
42,22,2023,2024-01-04
43,22,2020,2021-05-06
44,23,2019,2020-10-14
45,23,2015,2016-06-24
46,23,2022,2023-06-14
47,24,2023,2024-10-07
48,24,2016,2017-05-02
49,24,2018,2019-12-14
50,25,2023,2024-09-22
51,26,2018,2019-02-22
52,26,2020,2021-06-20
53,26,2023,2024-06-22
54,27,2019,2020-09-10
55,28,2021,2022-12-10
56,28,2020,2021-09-05
57,28,2018,2019-04-14
58,29,2021,2022-10-10
59,29,2017,2018-07-18
60,29,2019,2020-01-10
61,30,2018,2019-10-20
62,30,2021,2022-11-11
63,31,2022,2023-11-07
64,31,2023,2024-09-16
65,32,2017,2018-09-22
66,32,2016,2017-11-20
67,32,2023,2024-06-03
68,33,2019,2020-04-26
69,34,2017,2018-01-02
70,35,2022,2023-10-28
71,36,2022,2023-07-21
72,37,2018,2019-07-08
73,37,2021,2022-03-21
74,37,2023,2024-12-01
75,38,2021,2022-04-06
76,39,2023,2024-09-08
77,39,2022,2023-02-15
78,39,2015,2016-03-26
79,40,2023,2024-08-20
80,40,2020,2021-12-17
81,41,2023,2024-03-24
82,41,2022,2023-08-15
83,42,2018,2019-09-16
84,42,2019,2020-11-08
85,43,2022,2023-12-10
86,43,2016,2017-04-09
87,44,2020,2021-03-05
88,44,2016,2017-04-13
89,45,2017,2018-07-14
90,45,2018,2019-06-18
91,45,2015,2016-08-14
92,46,2018,2019-07-13
93,47,2015,2016-01-12
94,47,2021,2022-05-25
95,47,2018,2019-07-28
96,48,2023,2024-08-08
97,48,2018,2019-05-14
98,49,2015,2016-06-22
99,49,2021,2022-11-26
100,50,2017,2018-03-20
101,50,2022,2023-09-01
102,51,2015,2016-11-14
103,51,2016,2017-03-28
104,52,2017,2018-05-13
105,52,2015,2016-06-07
106,53,2020,2021-07-09
107,53,2023,2024-07-09
108,54,2022,2023-01-24
109,55,2015,2016-11-03
110,55,2020,2021-11-02
111,55,2016,2017-01-08
112,56,2015,2016-10-05
113,57,2017,2018-08-22
114,58,2018,2019-08-23
115,59,2020,2021-10-20
116,59,2017,2018-12-23
117,60,2017,2018-05-04
118,61,2015,2016-11-13
119,61,2019,2020-07-23
120,61,2022,2023-04-03
121,62,2018,2019-05-28
122,62,2016,2017-11-20
123,62,2020,2021-02-26
124,63,2015,2016-07-22
125,63,2020,2021-06-03
126,63,2019,2020-09-21
127,64,2015,2016-08-04
128,64,2021,2022-07-12
129,65,2022,2023-03-24
130,65,2017,2018-09-21
131,65,2018,2019-05-20
132,66,2022,2023-12-19
133,66,2023,2024-05-11
134,66,2018,2019-04-27
135,67,2019,2020-08-08
136,68,2021,2022-01-16
137,68,2020,2021-06-06
138,69,2018,2019-05-11
139,69,2020,2021-05-20
140,70,2019,2020-04-03
141,70,2015,2016-04-24
142,70,2023,2024-07-16
143,71,2018,2019-12-16
144,71,2022,2023-08-26
145,71,2020,2021-01-03
146,72,2018,2019-12-08
147,72,2021,2022-05-22
148,73,2020,2021-09-12
149,73,2022,2023-07-24
150,73,2019,2020-09-11
151,74,2022,2023-05-09
152,74,2019,2020-04-04
153,75,2018,2019-12-18
154,75,2020,2021-12-06
155,75,2015,2016-04-07
156,76,2022,2023-10-25
157,76,2019,2020-09-20
158,76,2020,2021-05-04
159,77,2019,2020-04-12
160,78,2019,2020-01-23
161,79,2017,2018-01-18
162,79,2019,2020-05-23
163,79,2015,2016-03-21
164,80,2016,2017-10-10
165,80,2015,2016-08-16
166,81,2020,2021-01-09
167,81,2017,2018-08-04
168,82,2021,2022-08-03
169,83,2015,2016-10-10
170,83,2017,2018-02-08
171,83,2016,2017-02-18
172,84,2018,2019-08-15
173,84,2021,2022-05-28
174,85,2021,2022-10-02
175,85,2019,2020-10-24
176,85,2022,2023-02-25
